DateTime,Level,Location,Message,Details
01/06/2022 05:07:27,INFO,SpotifyTools.Program,SpotifyTool Version,1.0.0.1
01/06/2022 05:07:28,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Playlists found,20
01/06/2022 05:07:28,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Creating playlist,TestPlaylist
01/06/2022 05:07:28,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Playlists created,TestPlaylist [ID: 6bNfEkGL5gTourWQwq1rzL]
01/06/2022 05:07:28,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Bread - Aubrey"
01/06/2022 05:07:29,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"The Dead Daisies - Resurrected"
01/06/2022 05:07:29,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Earth, Wind & Fire - Boogie Wonderland"
01/06/2022 05:07:29,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Elton John - Blue Eyes"
01/06/2022 05:07:29,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Genesis - Abacab"
01/06/2022 05:07:29,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Joe Bonamassa - Blue And Evil"
01/06/2022 05:07:29,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Kylie Minogue - Can't Get You Out Of My Head"
01/06/2022 05:07:30,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Lenny Kravitz - Are You Gonna Go My Way"
01/06/2022 05:07:30,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Mason Williams - Classical Gas"
01/06/2022 05:07:30,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Patrick Hernandez - Born To Be Alive"
01/06/2022 05:07:30,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Paul Simon - American Tune"
01/06/2022 05:07:31,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Red Rider - Lunatic Fringe"
01/06/2022 05:07:31,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Supertramp - Breakfast In America"
01/06/2022 05:07:31,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Toto - Africa"
01/06/2022 05:07:31,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Aaron Copland - Fanfare For The Common Man"
01/06/2022 05:07:32,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Ace Of Base - Beautiful Life"
01/06/2022 05:07:32,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Adele - Rolling In The Deep"
01/06/2022 05:07:32,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Aerosmith - I Don't Want To Miss A Thing"
01/06/2022 05:07:32,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Al Green - Let's Stay Together"
01/06/2022 05:07:33,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Al Stewart - Year Of The Cat"
01/06/2022 05:07:33,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Prime Time (Eric Woolfson)"
01/06/2022 05:07:33,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Don't Answer Me (Eric Woolfson)"
01/06/2022 05:07:34,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Alan Parsons Project - Sirius"
01/06/2022 05:07:34,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Eye In The Sky (Eric Woolfson)"
01/06/2022 05:07:34,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Silence And I (Eric Woolfson)"
01/06/2022 05:07:34,DEBUG,SpotifyToolsLib.Spotify.SpotifyAdapter,Song added,"Alan Parsons Project - Mammagamma"
01/06/2022 05:07:34,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Old And Wise (Colin Blunstone)"
01/06/2022 05:07:34,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - La Sagrada Familia (John Miles)"
01/06/2022 05:07:34,INFO,SpotifyToolsLib.Spotify.SpotifyAdapter,Song not found,"Alan Parsons Project - Standing On Higher Ground (Geoff Barradale)"
